"name","description","createdAt","labels","embedCode","source","duration"
"FUSE WIGRL - Week 4","","2018-02-08T19:58:16Z","","91NzNhZTE6nGe29O_TiE1uI82mqtkhTr","http://cms.ooyala.com/91NzNhZTE6nGe29O_TiE1uI82mqtkhTr%2F0000000000000-0002036357826?Signature=JuQaNXeRRrbEN1p5CYz5hkioKzo%3D&Expires=1518552009&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",2692292
"Weekly All Staff - Howard Frist","","2018-02-07T15:56:00Z","Weekly All Staff,All Staff","JydW05ZTE69enlA9ezuwfoSLJsTbsLTv","http://cms.ooyala.com/JydW05ZTE69enlA9ezuwfoSLJsTbsLTv%2F0000000000000-0001424586534?Signature=R81wbwZG00K6LCWDI7WIaeTV%2FRY%3D&Expires=1518552009&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",1882782
"DifferentStories_WK_6_KALWAT_prores_V1.mov",,"2018-02-07T15:17:32Z","","k4aG05ZTE6SYp6J_vxoQRyNv_S91NI_u","http://cms.ooyala.com/k4aG05ZTE6SYp6J_vxoQRyNv_S91NI_u%2F0000000000000-0001600506871?Signature=Qh5B0TqanzuVjHMaLg9%2F1Mro3rI%3D&Expires=1518552009&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",110477
"Different - Week 5","","2018-02-05T14:01:25Z","Sermons,reconciliation,heaven,church,2018","B0aHU4ZTE6LEATTcd-Va_X9Yt7Yl0l-k","http://cms.ooyala.com/B0aHU4ZTE6LEATTcd-Va_X9Yt7Yl0l-k%2F0000000000000-0012687299731?Signature=%2F5bdUnupnPJp%2FFen1zPBSqgr9mQ%3D&Expires=1518552009&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",5027160
"The Big PIcture_Promo_No Date_V1.mov",,"2018-02-04T15:27:54Z","","M4bGo4ZTE6VWrkKs80yfFBYPAHyI0sJa","http://cms.ooyala.com/M4bGo4ZTE6VWrkKs80yfFBYPAHyI0sJa%2F0000000000000-0000577074296?Signature=fnxiXqsJeuGZy6WFOaXOc3qwsiA%3D&Expires=1518552009&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",48715
"EastlanChurchStory_prores_V2.mov",,"2018-02-01T19:13:56Z","","5haGc3ZTE6kn53lqrpuVbUw5BpIq79um","http://cms.ooyala.com/5haGc3ZTE6kn53lqrpuVbUw5BpIq79um%2F0000000000000-0001259191371?Signature=MSXu1KJagF0T8SsqVW1c5YpkHgo%3D&Expires=1518552009&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",88463
"FUSE WIGRL - Week 3","","2018-02-01T14:57:40Z","","w0Z2Q3ZTE6EFNxYgC3eu7Y2idNFl6A_g","http://cms.ooyala.com/w0Z2Q3ZTE6EFNxYgC3eu7Y2idNFl6A_g%2F0000000000000-0001758753917?Signature=k%2B%2Bq8AYfOe5Vl%2BEnayb4TCubXjk%3D&Expires=1518552009&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",2325325
"3889_CEN_Web_TightenTheKnotPromo_Web_H264_v3.mp4",,"2018-01-31T22:43:50Z","","VqMTU3ZTE6Qv16U6woPXIIddW3B2GTNh","http://cms.ooyala.com/VqMTU3ZTE6Qv16U6woPXIIddW3B2GTNh%2F0000000000000-0000104142216?Signature=nLQY8AESG1lhyBjr8texkkBIA5Y%3D&Expires=1518552009&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",71154
"Weekly All Staff - MM","","2018-01-30T16:12:00Z","Weekly All Staff,All Staff","1hY2U2ZTE6CWlucG-oeydROCDngeLUGD","http://cms.ooyala.com/1hY2U2ZTE6CWlucG-oeydROCDngeLUGD%2F0000000000000-0001122274108?Signature=n22xxM%2FnlLLXJFuuJq%2FAO9AlSQA%3D&Expires=1518552009&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",1483516
"Different - Week 4","As we get older, we gravitate toward what's comfortable. This pull from courageous to complacent fights against what God wants to do in us. The abundant life and amazing love Jesus wants us to experience always lie on the other side of faith steps and bold moves.","2018-01-29T15:41:11Z","unbelief,Sermons,risk,fear,faith,2018","pieTE2ZTE6Pp5OuTHQb9SYFugkwf0Fsx","http://cms.ooyala.com/pieTE2ZTE6Pp5OuTHQb9SYFugkwf0Fsx%2F0000000000000-0003469464639?Signature=cKs3olM9HzSqiG4%2F9U0GIo2UWUQ%3D&Expires=1518552009&AWSAccessKeyId=AKIAJUAIW2RNELHXXF2Q&",4586986
